Zip,County,State,Name,Latitude,Longitude,Type,Trauma,City
2155,MIDDLESEX,MA,HALLMARK HEALTH SYSTEM - LAWRENCE MEMORIAL HOSPITAL CAMPUS,42.4259000000001,-71.1113999999999,GENERAL ACUTE CARE,NOT AVAILABLE,MEDFORD
2176,MIDDLESEX,MA,HALLMARK HEALTH SYSTEM - MELROSE-WAKEFIELD HOSPITAL CAMPUS,42.4605,-71.0608999999999,GENERAL ACUTE CARE,NOT AVAILABLE,MELROSE
1844,ESSEX,MA,HOLY FAMILY HOSPITAL AND MEDICAL CENTER,42.7277,-71.1683,GENERAL ACUTE CARE,NOT AVAILABLE,METHUEN
2139,MIDDLESEX,MA,CAMBRIDGE HEALTH ALLIANCE - CAMBRIDGE CAMPUS,42.3745000000001,-71.1041,GENERAL ACUTE CARE,NOT AVAILABLE,CAMBRIDGE
1199,HAMPDEN,MA,BAYSTATE MEDICAL CENTER,42.1217,-72.6032,GENERAL ACUTE CARE,"LEVEL I, PEDIATRIC II",SPRINGFIELD
1201,BERKSHIRE,MA,BERKSHIRE MEDICAL CENTER - BERKSHIRE CAMPUS,42.46,-73.2492,GENERAL ACUTE CARE,LEVEL III,PITTSFIELD
2601,BARNSTABLE,MA,CAPE COD HOSPITAL,41.6534,-70.2728999999999,GENERAL ACUTE CARE,NOT AVAILABLE,BARNSTABLE
1061,HAMPSHIRE,MA,COOLEY DICKINSON HOSPITAL,42.3302,-72.6532,GENERAL ACUTE CARE,NOT AVAILABLE,NORTHAMPTON
1440,WORCESTER,MA,HEYWOOD HOSPITAL,42.5863000000001,-71.9870999999999,GENERAL ACUTE CARE,NOT AVAILABLE,GARDNER
1842,ESSEX,MA,LAWRENCE GENERAL HOSPITAL,42.71,-71.1501,GENERAL ACUTE CARE,LEVEL III,LAWRENCE
1040,HAMPDEN,MA,MERCY MEDICAL CENTER - PROVIDENCE BEHAVIORAL HEALTH HOSPITAL CAMPUS,42.1659000000001,-72.634,PSYCHIATRIC,NOT AVAILABLE,HOLYOKE
1830,ESSEX,MA,MERRIMACK VALLEY HOSPITAL,42.7653,-71.0448,GENERAL ACUTE CARE,NOT AVAILABLE,HAVERHILL
35046,CHILTON,AL,ST VINCENTS CHILTON,32.8802860000001,-86.62279000000001,GENERAL ACUTE CARE,NOT AVAILABLE,CLANTON
1760,MIDDLESEX,MA,METROWEST MEDICAL CENTER - LEONARD MORSE CAMPUS,42.28,-71.3355999999999,GENERAL ACUTE CARE,NOT AVAILABLE,NATICK
2780,BRISTOL,MA,MORTON HOSPITAL AND MEDICAL CENTER,41.9062000000001,-71.0945,GENERAL ACUTE CARE,NOT AVAILABLE,TAUNTON
2138,MIDDLESEX,MA,MOUNT AUBURN HOSPITAL,42.3741000000001,-71.13429999999991,GENERAL ACUTE CARE,NOT AVAILABLE,CAMBRIDGE
1432,MIDDLESEX,MA,NASHOBA VALLEY MEDICAL CENTER,42.5775,-71.5739,GENERAL ACUTE CARE,NOT AVAILABLE,AYER
2462,MIDDLESEX,MA,NEWTON-WELLESLEY HOSPITAL,42.3312000000001,-71.24600000000001,GENERAL ACUTE CARE,NOT AVAILABLE,NEWTON
1915,ESSEX,MA,NORTHEAST HOSPITAL CORPORATION - BEVERLY CAMPUS,42.5641000000001,-70.87569999999991,GENERAL ACUTE CARE,LEVEL III,BEVERLY
2721,BRISTOL,MA,SAINT ANNE'S HOSPITAL,41.6926,-71.1636999999999,GENERAL ACUTE CARE,NOT AVAILABLE,FALL RIVER
1608,WORCESTER,MA,SAINT VINCENT HOSPITAL,42.2498000000001,-71.7915,GENERAL ACUTE CARE,NOT AVAILABLE,WORCESTER
2557,DUKES,MA,MARTHA'S VINEYARD HOSPITAL,41.4608000000001,-70.5798,GENERAL ACUTE CARE,NOT AVAILABLE,OAK BLUFFS
2190,NORFOLK,MA,SOUTH SHORE HOSPITAL,42.176,-70.9541,GENERAL ACUTE CARE,LEVEL II,WEYMOUTH
2720,BRISTOL,MA,SOUTHCOAST HOSPITALS GROUP - CHARLTON MEMORIAL HOSPITAL,41.7094000000001,-71.146,GENERAL ACUTE CARE,NOT AVAILABLE,FALL RIVER
2740,BRISTOL,MA,SOUTHCOAST HOSPITALS GROUP - ST. LUKE'S HOSPITAL,41.6264,-70.9383999999999,GENERAL ACUTE CARE,NOT AVAILABLE,NEW BEDFORD
2703,BRISTOL,MA,STURDY MEMORIAL HOSPITAL,41.9420000000001,-71.2748,GENERAL ACUTE CARE,NOT AVAILABLE,ATTLEBORO
2135,SUFFOLK,MA,ST. ELIZABETH'S MEDICAL CENTER,42.3487000000001,-71.1485,GENERAL ACUTE CARE,NOT AVAILABLE,BOSTON
1890,MIDDLESEX,MA,WINCHESTER HOSPITAL,42.4660000000001,-71.1228,GENERAL ACUTE CARE,NOT AVAILABLE,WINCHESTER
28603,ALEXANDER,NC,ALEXANDER HOSPITAL,35.6955944850001,-81.291107606,GENERAL ACUTE CARE,NOT AVAILABLE,HICKORY
27028,DAVIE,NC,DAVIE COUNTY HOSPITAL,35.899376196999995,-80.57179141599991,GENERAL ACUTE CARE,NOT AVAILABLE,MOCKSVILLE
27006,DAVIE,NC,DAVIE MEDICAL CENTER,36.0094038940001,-80.44758968799991,GENERAL ACUTE CARE,NOT AVAILABLE,BERMUDA RUN
36109,MONGOMERY,AL,CAVHCS EAST CAMPUS,32.3577100000001,-86.12921899999999,MILITARY,NOT AVAILABLE,MONTGOMERY
35476,TUSCALOOSA,AL,NORTHPORT MEDICAL CENTER,33.23398145,-87.570910898,GENERAL ACUTE CARE,NOT AVAILABLE,NORTHPORT
35661,COLBERT,AL,SHOALS HOSPITAL,34.747192958,-87.67621342,GENERAL ACUTE CARE,NOT AVAILABLE,MUSCLE SHOALS
35570,MARION,AL,NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,34.1259771800001,-87.99076877700001,GENERAL ACUTE CARE,NOT AVAILABLE,HAMILTON
36278,RANDOLPH,AL,WEDOWEE HOSPITAL,33.3114042180001,-85.485452466,GENERAL ACUTE CARE,NOT AVAILABLE,WEDOWEE
35007,SHELBY,AL,SHELBY BAPTIST MEDICAL CENTER,33.252364867,-86.8130430149999,GENERAL ACUTE CARE,III,ALABASTER
35631,LAUDERDALE,AL,ELIZA COFFEE MEMORIAL HOSPITAL,34.793858034,-87.682850174,GENERAL ACUTE CARE,III,FLORENCE
35976,MARSHALL,AL,MARSHALL MEDICAL CENTER NORTH,34.3649133480001,-86.42135152700001,GENERAL ACUTE CARE,III,GUNTERSVILLE
36301,HOUSTON,AL,SOUTHEAST ALABAMA MEDICAL CENTER,31.216303648000103,-85.36363112399991,GENERAL ACUTE CARE,II,DOTHAN
36027,BARBOUR,AL,MEDICAL CENTER BARBOUR,31.8886450800001,-85.156405419,GENERAL ACUTE CARE,III,EUFAULA
36451,CLARKE,AL,GROVE HILL MEMORIAL HOSPITAL,31.694302296,-87.77602462700001,GENERAL ACUTE CARE,III,GROVE HILL
36109,MONTGOMERY,AL,CAVHCS WEST CAMPUS,32.3769911360001,-86.2436852179999,MILITARY,NOT AVAILABLE,MONTGOMERY
36502,ESCAMBIA,AL,ATMORE COMMUNITY HOSPITAL,31.017023865000102,-87.47879851299999,GENERAL ACUTE CARE,III,ATMORE
36049,CRENSHAW,AL,BEACON CHILDREN'S HOSPITAL,31.694588547,-86.26319151,PSYCHIATRIC,NOT AVAILABLE,LUVERNE
36532,BALDWIN,AL,THOMAS HOSPITAL,30.518879028000104,-87.88944743699992,GENERAL ACUTE CARE,III,FAIRHOPE
35903,ETOWAH,AL,GADSDEN REGIONAL MEDICAL CENTER,34.0077362820001,-85.965982141,GENERAL ACUTE CARE,III,GADSDEN
36853,TALLAPOOSA,AL,LAKE MARTIN COMMUNITY HOSPITAL,32.8185985690001,-85.74113990599992,GENERAL ACUTE CARE,NOT AVAILABLE,DADEVILLE
35010,TALLAPOOSA,AL,RUSSELL HOSPITAL,32.9302132720001,-85.969566148,GENERAL ACUTE CARE,III,ALEXANDER CITY
35960,CHEROKEE,AL,CHEROKEE MEDICAL CENTER,34.161458302,-85.65108877599991,GENERAL ACUTE CARE,NOT AVAILABLE,CENTRE
35611,LIMESTONE,AL,NORTH ALABAMA SPECIALTY HOSPITAL,34.8042455780001,-86.978872603,LONG TERM CARE,NOT AVAILABLE,ATHENS
36526,BALDWIN,AL,EASTPOINTE HOSPITAL,30.635289145999998,-87.89513909700001,PSYCHIATRIC,NOT AVAILABLE,DAPHNE
36535,BALDWIN,AL,SOUTH BALDWIN REGIONAL MEDICAL CENTER,30.425835684000003,-87.68468564700001,GENERAL ACUTE CARE,III,FOLEY
36693,MOBILE,AL,BAYPOINTE BEHAVIORAL HEALTH,30.6248084910001,-88.178008125,PSYCHIATRIC,NOT AVAILABLE,MOBILE
36202,CALHOUN,AL,NOLAND HOSPITAL ANNISTON,33.655655193,-85.82323961600001,LONG TERM CARE,III,ANNISTON
36202,CALHOUN,AL,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,33.6555752560001,-85.82324213899992,GENERAL ACUTE CARE,NOT AVAILABLE,ANNISTON
35611,LIMESTONE,AL,ATHENS LIMESTONE HOSPITAL,34.8041639300001,-86.978407208,GENERAL ACUTE CARE,III,ATHENS
36507,BALDWIN,AL,NORTH BALDWIN INFIRMARY,30.903934361999998,-87.78502249600001,GENERAL ACUTE CARE,III,BAY MINETTE
35233,JEFFERSON,AL,VA MEDICAL CENTER - BIRMINGHAM,33.5044482610001,-86.80134612099991,MILITARY,NOT AVAILABLE,BIRMINGHAM
35259,JEFFERSON,AL,BROOKWOOD MEDICAL CENTER,33.463730942,-86.77625338899999,GENERAL ACUTE CARE,III,BIRMINGHAM
35233,JEFFERSON,AL,CHILDREN'S HOSPITAL OF ALABAMA,33.504048154,-86.8051591399999,CHILDREN,I,BIRMINGHAM
35209,JEFFERSON,AL,HEALTHSOUTH LAKESHORE REHABILITATION HOSPITAL,33.469115849,-86.78833498899999,REHABILITATION,NOT AVAILABLE,BIRMINGHAM
35212,JEFFERSON,AL,HILL CREST BEHAVIORAL HEALTH SERVICES,33.5488342840001,-86.730183296,PSYCHIATRIC,NOT AVAILABLE,BIRMINGHAM
35261,SHELBY,AL,NOLAND HOSPITAL BIRMINGHAM,33.4149192100001,-86.6860220629999,LONG TERM CARE,NOT AVAILABLE,BIRMINGHAM
35213,JEFFERSON,AL,SELECT SPECIALTY HOSPITAL-BIRMINGHAM,33.464103937000104,-86.777332621,GENERAL ACUTE CARE,NOT AVAILABLE,BIRMINGHAM
35205,JEFFERSON,AL,ST. VINCENT'S BIRMINGHAM,33.507477169,-86.789121531,GENERAL ACUTE CARE,III,BIRMINGHAM
35235,JEFFERSON,AL,ST. VINCENT'S EAST,33.596154515,-86.6676110189999,GENERAL ACUTE CARE,III,BIRMINGHAM
35233,JEFFERSON,AL,UNIVERSITY OF ALABAMA HOSPITAL,33.505603291999996,-86.80203539699991,GENERAL ACUTE CARE,I,BIRMINGHAM
35957,MARSHALL,AL,MARSHALL MEDICAL CENTER SOUTH,34.2214658500001,-86.16062816799999,GENERAL ACUTE CARE,III,BOAZ
36427,ESCAMBIA,AL,D. W. MCMILLAN MEMORIAL HOSPITAL,31.127033909,-87.0734993039999,GENERAL ACUTE CARE,III,BREWTON
36726,WILCOX,AL,J. PAUL JONES HOSPITAL,31.9975251480001,-87.300257836,GENERAL ACUTE CARE,NOT AVAILABLE,CAMDEN
35447,PICKENS,AL,PICKENS COUNTY MEDICAL CENTER,33.2744756700001,-88.0886357479999,GENERAL ACUTE CARE,NOT AVAILABLE,CARROLLTON
35042,BIBB,AL,BIBB MEDICAL CENTER,32.9513583660001,-87.1483112339999,GENERAL ACUTE CARE,NOT AVAILABLE,CENTREVILLE
36518,WASHINGTON,AL,WASHINGTON COUNTY HOSPITAL,31.459538148000004,-88.23507989299999,CRITICAL ACCESS,NOT AVAILABLE,CHATOM
36732,MARENGO,AL,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,32.504788530999996,-87.8363988,GENERAL ACUTE CARE,NOT AVAILABLE,DEMOPOLIS
36301,HOUSTON,AL,LAUREL OAKS BEHAVIORAL HEALTH CENTER,31.203815636999998,-85.38460111599991,PSYCHIATRIC,NOT AVAILABLE,DOTHAN
36302,HOUSTON,AL,"NOLAND HOSPITAL DOTHAN, LLC",31.216289171,-85.36294421,LONG TERM CARE,NOT AVAILABLE,DOTHAN
36330,COFFEE,AL,MEDICAL CENTER ENTERPRISE,31.318772396,-85.855369739,GENERAL ACUTE CARE,III,ENTERPRISE
36401,CONECUH,AL,EVERGREEN MEDICAL CENTER,31.430798572000104,-86.940483587,GENERAL ACUTE CARE,NOT AVAILABLE,EVERGREEN
35555,FAYETTE,AL,FAYETTE MEDICAL CENTER,33.70817814,-87.82468898199991,GENERAL ACUTE CARE,NOT AVAILABLE,FAYETTE
35904,ETOWAH,AL,MOUNTAIN VIEW HOSPITAL,34.072425745,-86.019766069,PSYCHIATRIC,NOT AVAILABLE,GADSDEN
36340,GENEVA,AL,WIREGRASS MEDICAL CENTER,31.048793989,-85.892536692,GENERAL ACUTE CARE,NOT AVAILABLE,GENEVA
35999,ETOWAH,AL,RIVERVIEW REGIONAL MEDICAL CENTER,34.0043255430001,-86.00342706,GENERAL ACUTE CARE,III,GADSDEN
36037,BUTLER,AL,L. V. STABLER MEMORIAL HOSPITAL,31.829034401999998,-86.646364202,GENERAL ACUTE CARE,III,GREENVILLE
36744,HALE,AL,HALE COUNTY HOSPITAL,32.695372236,-87.586934194,GENERAL ACUTE CARE,NOT AVAILABLE,GREENSBORO
35801,MADISON,AL,CRESTWOOD MEDICAL CENTER,34.693611397,-86.572171543,GENERAL ACUTE CARE,III,HUNTSVILLE
35806,MADISON,AL,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC.",34.75317024,-86.66569635399999,PSYCHIATRIC,NOT AVAILABLE,HUNTSVILLE
35890,MADISON,AL,FOX ARMY HEALTH CENTER: LAMBERT RHONDA W,34.6962142020001,-86.66023088700001,MILITARY,NOT AVAILABLE,HUNTSVILLE
35801,MADISON,AL,"HUNTSVILLE HOSPITAL, THE",34.721433099,-86.580805509,GENERAL ACUTE CARE,I,HUNTSVILLE
36545,CLARKE,AL,JACKSON MEDICAL CENTER,31.53106846,-87.895134564,GENERAL ACUTE CARE,III,JACKSON
36265,CALHOUN,AL,RMC JACKSONVILLE,33.784932246,-85.76355079,GENERAL ACUTE CARE,NOT AVAILABLE,JACKSONVILLE
35502,WALKER,AL,WALKER BAPTIST MEDICAL CENTER,33.842728904000104,-87.235999582,GENERAL ACUTE CARE,III,JASPER
36049,CRENSHAW,AL,CRENSHAW COMMUNITY HOSPITAL,31.693544069,-86.265045701,GENERAL ACUTE CARE,NOT AVAILABLE,LUVERNE
36652,MOBILE,AL,MOBILE INFIRMARY MEDICAL CENTER,30.695724958000003,-88.07977619199991,GENERAL ACUTE CARE,III,MOBILE
36608,MOBILE,AL,SPRINGHILL MEMORIAL HOSPITAL,30.684517488,-88.13133629100001,GENERAL ACUTE CARE,III,MOBILE
36111,MONTGOMERY,AL,BAPTIST MEDICAL CENTER SOUTH,32.3281539480001,-86.27754935,GENERAL ACUTE CARE,II,MONTGOMERY
36116,MONTGOMERY,AL,HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY,32.3191069820001,-86.280709803,REHABILITATION,NOT AVAILABLE,MONTGOMERY
36106,MONTGOMERY,AL,JACKSON HOSPITAL AND CLINIC,32.3669529960001,-86.28538554499991,GENERAL ACUTE CARE,NOT AVAILABLE,MONTGOMERY
36106,MONTGOMERY,AL,"NOLAND HOSPITAL MONTGOMERY, LLC",32.3669693300001,-86.28579005299999,LONG TERM CARE,III,MONTGOMERY
36467,COVINGTON,AL,MIZELL MEMORIAL HOSPITAL,31.291958238000102,-86.25452692299999,GENERAL ACUTE CARE,III,OPP
36360,DALE,AL,DALE MEDICAL CENTER,31.4515766550001,-85.632088035,GENERAL ACUTE CARE,III,OZARK
35125,ST. CLAIR,AL,ST. VINCENT'S ST.CLAIR,33.605110768,-86.27746910199991,GENERAL ACUTE CARE,NOT AVAILABLE,PELL CITY
35582,FRANKLIN,AL,RED BAY HOSPITAL,34.458105759,-88.14732506199991,CRITICAL ACCESS,NOT AVAILABLE,RED BAY
35653,FRANKLIN,AL,RUSSELLVILLE HOSPITAL,34.5108181190001,-87.71838606700001,GENERAL ACUTE CARE,III,RUSSELLVILLE
35768,JACKSON,AL,HIGHLANDS MEDICAL CENTER,34.6620379330001,-86.047490796,GENERAL ACUTE CARE,III,SCOTTSBORO
36701,DALLAS,AL,VAUGHAN REGIONAL MEDICAL CENTER-PARKWAY CAMPUS,32.4294652130001,-87.055973046,GENERAL ACUTE CARE,NOT AVAILABLE,SELMA
35660,COLBERT,AL,HELEN KELLER MEMORIAL HOSPITAL,34.745950151,-87.70026146100001,GENERAL ACUTE CARE,NOT AVAILABLE,SHEFFIELD
35150,TALLADEGA,AL,COOSA VALLEY MEDICAL CENTER,33.164560226,-86.25548758199992,GENERAL ACUTE CARE,III,SYLACAUGA
35161,TALLADEGA,AL,CITIZENS BAPTIST MEDICAL CENTER,33.4402768210001,-86.0907833959999,GENERAL ACUTE CARE,III,TALLADEGA
35402,TUSCALOOSA,AL,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,33.2190660000001,-87.53398100000001,PSYCHIATRIC,NOT AVAILABLE,TUSCALOOSA
35401,TUSCALOOSA,AL,"NOLAND HOSPITAL TUSCALOOSA, LLC",33.205174448,-87.52636437699991,LONG TERM CARE,NOT AVAILABLE,TUSCALOOSA
35401,TUSCALOOSA,AL,VA MEDICAL CENTER - TUSCALOOSA,33.1899356690001,-87.488317847,MILITARY,NOT AVAILABLE,TUSCALOOSA
36083,MACON,AL,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,32.445218316,-85.712148611,MILITARY,NOT AVAILABLE,TUSKEGEE
36089,BULLOCK,AL,BULLOCK COUNTY HOSPITAL,32.146635109,-85.71700932600001,GENERAL ACUTE CARE,NOT AVAILABLE,UNION SPRINGS
36092,ELMORE,AL,ELMORE COMMUNITY HOSPITAL,32.552266972,-86.1863964459999,GENERAL ACUTE CARE,NOT AVAILABLE,WETUMPKA
36925,SUMTER,AL,HILL HOSPITAL OF SUMTER COUNTY,32.4919942220001,-88.295523761,GENERAL ACUTE CARE,NOT AVAILABLE,YORK
6904,FAIRFIELD,CT,STAMFORD HOSPITAL,41.0550166850001,-73.5531250769999,GENERAL ACUTE CARE,II,STAMFORD
6856,FAIRFIELD,CT,NORWALK HOSPITAL,41.111596648,-73.422623625,GENERAL ACUTE CARE,II,NORWALK
46176,SHELBY,IN,MAJOR HOSPITAL,39.525273383000105,-85.781051465,GENERAL ACUTE CARE,NOT AVAILABLE,SHELBYVILLE
46545,ST. JOSEPH,IN,MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA,41.671248352000106,-86.15887275200001,LONG TERM CARE,NOT AVAILABLE,MISHAWAKA
46222,MARION,IN,COMMUNITY WESTVIEW HOSPITAL,39.820940711,-86.222438396,GENERAL ACUTE CARE,NOT AVAILABLE,INDIANAPOLIS
46802,ALLEN,IN,SELECT SPECIALTY HOSPITAL-FORT WAYNE,41.0782955230001,-85.14916600800001,LONG TERM CARE,NOT AVAILABLE,FORT WAYNE
28451,BEAUFORT,NC,STRATEGIC BEHAVIORAL CENTER LELAND,34.26075781,-78.063713706,PSYCHIATRIC,NOT AVAILABLE,LELAND
27705,DURHAM,NC,VERITAS COLLABORATIVE NORTH CAROLINA LLC,36.009940375999996,-78.942325379,GENERAL ACUTE CARE,NOT AVAILABLE,DURHAM
27104,FORSYTH,NC,OLD VINEYARD YOUTH SERVICES,36.078334382,-80.3185738179999,PSYCHIATRIC,NOT AVAILABLE,WINSTON SALEM
27403,GUILFORD,NC,BEHAVIORAL HEALTH HOSPITAL,36.082795504,-79.822456152,PSYCHIATRIC,NOT AVAILABLE,GREENSBORO
27408,GUILFORD,NC,WOMEN'S HOSPITAL,36.092908213,-79.817863792,WOMEN,NOT AVAILABLE,GREENSBORO
28339,HARNETT,NC,GOOD HOPE HOSPITAL,35.3273632470001,-78.66980288799991,PSYCHIATRIC,NOT AVAILABLE,ERWIN
28721,HAYWOOD,NC,HAYWOOD REGIONAL MEDICAL CENTER,35.5253812770001,-82.9425088839999,GENERAL ACUTE CARE,NOT AVAILABLE,CLYDE
28503,LENOIR,NC,UNC LENOIR HEALTH CARE,35.290340626,-77.58328281199991,GENERAL ACUTE CARE,NOT AVAILABLE,KINSTON
28210,MECKLENBURG,NC,CAROLINAS HEALTHCARE SYSTEM PINEVILLE,35.0920121830001,-80.871618187,GENERAL ACUTE CARE,NOT AVAILABLE,CHARLOTTE
28256,MECKLENBURG,NC,CAROLINAS HEALTHCARE SYSTEM UNIVERSITY,35.306757427,-80.74704794199991,GENERAL ACUTE CARE,NOT AVAILABLE,CHARLOTTE
28210,MECKLENBURG,NC,STRATEGIC BEHAVIORAL CENTER CHARLOTTE,35.1208566970001,-80.8716039179999,PSYCHIATRIC,NOT AVAILABLE,CHARLOTTE
28232,MECKLENBURG,NC,CAROLINAS MEDICAL CENTER,35.203899886,-80.838901796,GENERAL ACUTE CARE,LEVEL I,CHARLOTTE
28211,MECKLENBURG,NC,CAROLINAS MEDICAL CENTER FOR MENTAL HEALTH,35.1920501700001,-80.803893976,PSYCHIATRIC,NOT AVAILABLE,CHARLOTTE
46278,MARION,IN,ORTHOINDY HOSPITAL,39.907695425,-86.267216495,SPECIAL,NOT AVAILABLE,INDIANAPOLIS
46250,MARION,IN,SELECT SPECIALTY HOSPITAL- INDIANAPOLIS,39.9021177990001,-86.060493489,LONG TERM CARE,NOT AVAILABLE,INDIANAPOLIS
47905,TIPPECANOE,IN,LAFAYETTE REGIONAL REHABILITATION HOSPITAL,40.4046309500001,-86.83003268600001,REHABILITATION,NOT AVAILABLE,LAFAYETTE
46037,HAMILTON,IN,ST VINCENT FISHERS HOSPITAL INC,39.9893360550001,-85.9166019689999,GENERAL ACUTE CARE,NOT AVAILABLE,FISHERS
46032,HAMILTON,IN,FRANCISCAN ST FRANCIS HEALTH - CARMEL,39.968032054,-86.15870701899999,GENERAL ACUTE CARE,NOT AVAILABLE,CARMEL
46254,MARION,IN,ESKENAZI HEALTH,39.777882758000004,-86.183985886,GENERAL ACUTE CARE,LEVEL I,INDIANAPOLIS
46805,ALLEN,IN,"PARK CENTER, INC",41.0936254390001,-85.10848201999991,PSYCHIATRIC,NOT AVAILABLE,FORT WAYNE
46804,ALLEN,IN,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,41.04028484,-85.23912542800001,GENERAL ACUTE CARE,NOT AVAILABLE,FORT WAYNE
46013,MADISON,IN,ASSURANCE HEALTH PSYCHIATRIC HOSPITAL,40.0378438860001,-85.72505390100001,PSYCHIATRIC,NOT AVAILABLE,ANDERSON
46202,MARION,IN,INDIANA UNIVERSITY HEALTH,39.789801115,-86.163100641,GENERAL ACUTE CARE,LEVEL I,INDIANAPOLIS
46904,HOWARD,IN,ST JOSEPH HOSPITAL & HEALTH CENTER INC,40.4860802050001,-86.156694771,GENERAL ACUTE CARE,NOT AVAILABLE,KOKOMO
47250,JEFFERSON,IN,KING'S DAUGHTERS' HEALTH,38.792507239,-85.3642979649999,GENERAL ACUTE CARE,NOT AVAILABLE,MADISON
46250,MARION,IN,COMMUNITY HEALTH NETWORK REHABILITATION HOSPITAL,39.898920937000106,-86.037910708,REHABILITATION,NOT AVAILABLE,INDIANAPOLIS
47303,DELAWARE,IN,MERIDIAN SERVICES CORP,40.196783483000004,-85.41481236199999,PSYCHIATRIC,NOT AVAILABLE,MUNCIE
47374,WAYNE,IN,REID HOSPITAL & HEALTH CARE SERVICES,39.864710013,-84.884284517,GENERAL ACUTE CARE,LEVEL III,RICHMOND
